```csv,,,,,,,,,,,,,,,,,
# Sheet 1: Careers/Career Paths Dataset,,,,,,,,,,,,,,,,,
career_id,career_title,industry,description,avg_salary_min,avg_salary_max,growth_rate,education_required,experience_required,remote_friendly,demand_score,required_skills,skill_importance_levels,job_outlook,typical_work_environment,career_cluster,,
C001,Data Scientist,Technology,Analyzes data to derive insights,80000,120000,0.15,Master,2-4 years,1,0.95,Python,Data Analysis,Machine Learning,Python:0.9;Data Analysis:0.8;Machine Learning:0.85,Strong growth due to data-driven decision-making,Office/Remote,Technology
C002,Software Engineer,Technology,Develops software applications,90000,140000,0.12,Bachelor,2-4 years,1,0.9,Java,Python,System Design,Java:0.85;Python:0.8;System Design:0.75,High demand for cloud-based solutions,Office/Remote,Technology
C003,UX Designer,Arts,Designs user-friendly interfaces,70000,110000,0.1,Bachelor,0-1 years,1,0.88,Graphic Design,UI/UX,Adobe Creative Suite,Graphic Design:0.9;UI/UX:0.85;Adobe Creative Suite:0.8,Stable with growing need for digital interfaces,Office/Remote,Arts
C004,Financial Analyst,Finance,Analyzes financial data for investments,65000,100000,0.08,Master,2-4 years,0,0.87,Financial Analysis,Excel,Econometrics,Financial Analysis:0.9;Excel:0.85;Econometrics:0.8,Steady demand in corporate finance,Office,Business
C005,Project Manager,Business,Manages project timelines and teams,75000,115000,0.09,Bachelor,5+ years,0,0.85,Project Management,Communication,Agile,Project Management:0.9;Communication:0.85;Agile:0.8,Consistent need across industries,Office,Business
C006,AI Researcher,Technology,Researches AI algorithms,95000,150000,0.18,PhD,2-4 years,1,0.93,Python,Deep Learning,Statistics,Python:0.95;Deep Learning:0.9;Statistics:0.85,High growth in AI innovation,Office/Remote,Technology
C007,Marketing Manager,Marketing,Develops marketing strategies,70000,120000,0.11,Bachelor,5+ years,0,0.86,Content Writing,SEO,Social Media,Content Writing:0.85;SEO:0.8;Social Media:0.75,Growing with digital marketing trends,Office,Business
C008,NLP Engineer,Technology,Builds natural language processing systems,85000,130000,0.16,Master,2-4 years,1,0.92,Python,NLP,Machine Learning,Python:0.9;NLP:0.85;Machine Learning:0.8,Strong demand in AI-driven industries,Office/Remote,Technology
C009,Embedded Systems Engineer,Technology,Develops embedded systems for devices,80000,125000,0.13,Bachelor,2-4 years,0,0.91,C++,Embedded Systems,IoT,C++:0.9;Embedded Systems:0.85;IoT:0.8,Growing with IoT expansion,Office,Technology
C010,Psychotherapist,Healthcare,Provides mental health therapy,60000,95000,0.07,Master,2-4 years,1,0.89,Counseling,Active Listening,Psychotherapy,Counseling:0.9;Active Listening:0.85;Psychotherapy:0.8,Stable demand in mental health,Clinic/Remote,Healthcare
,,,,,,,,,,,,,,,,,
# Sheet 2: Skills Dataset,,,,,,,,,,,,,,,,,
skill_id,skill_name,category,importance_score,description,market_demand_trend,average_salary_impact,related_skills,,,,,,,,,,
S001,Python,Technical,0.9,Programming language for data analysis and AI,Growing,0.15,Java,R,,,,,,,,,
S002,Data Analysis,Technical,0.85,Analyzing data to derive insights,Growing,0.12,Statistics,Excel,,,,,,,,,
S003,Machine Learning,Technical,0.8,Building predictive models,Growing,0.18,Deep Learning,Python,,,,,,,,,
S004,Java,Technical,0.85,Programming language for software development,Stable,0.1,Python,C++,,,,,,,,,
S005,System Design,Technical,0.75,Designing scalable systems,Stable,0.08,Cloud Computing,Software Architecture,,,,,,,,,
S006,Graphic Design,Technical,0.8,Creating visual content,Stable,0.09,UI/UX,Adobe Creative Suite,,,,,,,,,
S007,UI/UX,Technical,0.85,Designing user interfaces,Growing,0.11,Graphic Design,Prototyping,,,,,,,,,
S008,Financial Analysis,Domain-specific,0.85,Analyzing financial data,Stable,0.1,Excel,Econometrics,,,,,,,,,
S009,Project Management,Soft,0.9,Managing projects and teams,Stable,0.12,Communication,Agile,,,,,,,,,
S010,Communication,Soft,0.85,Effective interpersonal communication,Stable,0.08,Leadership,Negotiation,,,,,,,,,
,,,,,,,,,,,,,,,,,
# Sheet 3: Career-Skills Mapping Dataset,,,,,,,,,,,,,,,,,
mapping_id,career_id,skill_id,importance_level,required_proficiency,frequency_of_use,,,,,,,,,,,,
M001,C001,S001,5,4,Daily,,,,,,,,,,,,
M002,C001,S002,4,3,Daily,,,,,,,,,,,,
M003,C001,S003,4,4,Weekly,,,,,,,,,,,,
M004,C002,S004,5,4,Daily,,,,,,,,,,,,
M005,C002,S001,4,3,Daily,,,,,,,,,,,,
M006,C003,S006,5,4,Daily,,,,,,,,,,,,
M007,C003,S007,4,4,Daily,,,,,,,,,,,,
M008,C004,S008,5,4,Daily,,,,,,,,,,,,
M009,C005,S009,5,4,Daily,,,,,,,,,,,,
M010,C005,S010,4,3,Daily,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# Sheet 4: User Profiles Dataset,,,,,,,,,,,,,,,,,
user_id,age,education_level,current_field,years_experience,location,skills,interests,career_goals,work_style_preferences,risk_tolerance,work_life_balance_priority,salary_importance,,,,,
U001,24,Bachelor,Science,1,Region A,Python:4,Data Analysis:3,Technology,Data Science,Become a Data Scientist,Collaborative,3,4,3,,,
U002,21,Bachelor,Engineering,0,Region C,Java:3,Python:3,Software Development,AI,Software Engineer,Independent,2,3,4,,,
U003,28,Master,Business,3,Region A,Financial Analysis:4,Excel:4,Finance,Investments,Financial Analyst,Structured,3,3,5,,,
U004,25,Bachelor,Business,2,Region B,Project Management:3,Communication:4,Business,Management,Project Manager,Flexible,4,4,3,,,
U005,22,Bachelor,Law,1,Region A,Communication:4,Negotiation:3,Law,Policy,Policy Analyst,Collaborative,2,5,3,,,
U006,24,Bachelor,Arts,1,Region C,Graphic Design:4,UI/UX:3,Arts,Design,UX Designer,Creative,3,4,2,,,
U007,27,Master,Business,4,Region C,Project Management:4,Agile:3,Business,Entrepreneurship,Entrepreneur,Independent,5,3,4,,,
U008,20,Bachelor,Arts,0,Region B,Content Writing:3,SEO:3,Marketing,Communications,Digital Marketer,Flexible,3,4,3,,,
U009,24,Master,Science,2,Region C,Python:4,Machine Learning:3,Technology,AI,AI Researcher,Collaborative,4,3,4,,,
U010,28,Bachelor,Engineering,3,Region B,C++:4,Embedded Systems:3,Electronics,Automation,Embedded Systems Engineer,Structured,3,3,4,,,
,,,,,,,,,,,,,,,,,
# Sheet 5: Job Market Trends Dataset,,,,,,,,,,,,,,,,,
trend_id,skill_id,industry,trend_score,demand_level,salary_trend,geographic_demand,future_outlook,,,,,,,,,,
T001,S001,Technology,0.95,High,0.1,Sydney,Strong growth in AI and data science,,,,,,,,,,
T002,S002,Technology,0.9,High,0.08,London,Increasing need for data-driven insights,,,,,,,,,,
T003,S003,Technology,0.92,High,0.12,San Francisco,Continued AI innovation,,,,,,,,,,
T004,S004,Technology,0.85,Medium,0.05,Berlin,Stable demand for software development,,,,,,,,,,
T005,S006,Arts,0.8,Medium,0.07,New York,Growing need for digital interfaces,,,,,,,,,,
T006,S007,Arts,0.82,Medium,0.06,Sydney,Stable with digital product growth,,,,,,,,,,
T007,S008,Finance,0.85,Medium,0.05,London,Consistent demand in corporate finance,,,,,,,,,,
T008,S009,Business,0.88,High,0.08,San Francisco,Strong need across industries,,,,,,,,,,
T009,S010,Business,0.8,Medium,0.06,Berlin,Stable demand for soft skills,,,,,,,,,,
T010,S003,Healthcare,0.9,High,0.1,Sydney,Growing AI applications in healthcare,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# Sheet 6: Learning Resources Dataset,,,,,,,,,,,,,,,,,
resource_id,skill_id,resource_type,resource_name,difficulty_level,duration,cost,platform,rating,url,,,,,,,,
R001,S001,Course,Python for Data Science,Intermediate,10 weeks,150,Coursera,4.8,https://coursera.org/python-data-science,,,,,,,,
R002,S002,Course,Data Analysis with Pandas,Beginner,6 weeks,100,Udemy,4.5,https://udemy.com/data-analysis-pandas,,,,,,,,
R003,S003,Certification,Machine Learning by Stanford,Advanced,12 weeks,200,Coursera,4.9,https://coursera.org/machine-learning,,,,,,,,
R004,S004,Course,Java Programming Masterclass,,,,,,,,,,,,,,
